"","GraphNames","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"426","mammalia-primate-association-17","7","20","1","7","5","6","5.71428571428571","5","5","1","0.159863945578231","0","2","0.00444444444444445","0.947368421052632","0.174165738677394","5.74165738677394","0.051668522645212","0.0476190476190476","1.28571428571429","1","1.04761904761905","11.4833147735479","10","12.8571428571429","1.95180014589707","14","90","-0.333333333333333"
"427","mammalia-primate-association-18","6","15","1","6","5","5","5","5","6","1.2","0.2","0","1","0","1","0.2","5","0","0","1","1","1","10","10","10","0","10","60","NaN"
"428","mammalia-primate-association-19","10","13","1","10","2","3","2.6","2","0.788386183771742","0.31717931740049","0.0518649565089194","0.310650887573964","4","0.0627572016460905","0","0.368197052048923","2.71593700828199","0.301614535614201","0.0444444444444444","3.8","3","2.15555555555556","13.0500508353195","0","0","0","0","0","-0.0833333333333326"
"429","mammalia-primate-association-2","5","10","1","5","4","4","4","4","5","1.25","0.25","0","1","0","1","0.25","4","0","0","1","1","1","8","6","6","0","6","30","NaN"
"430","mammalia-primate-association-3","22","167","1","22","3","20","15.1818181818182","3","2.82066532357246","0.769078850678343","0.0382220763780786","0","3","0.0383995470390028","0.847651775486827","0.0603591712239648","16.5674905689057","0.213254621849118","0.229437229437229","2.09090909090909","2","1.28138528138528","46.4895753680297","3","100.909090909091","43.2720178922538","144","2220","-0.239821086081091"
"431","mammalia-primate-association-4","12","43","1","12","4","10","7.16666666666667","4","3.4632281505507","0.653252422426304","0.0682235928559458","0.0519199567333694","2","0.0598347107438017","0.661921708185053","0.133635698910778","7.48303041889763","0.299552542519278","0.257575757575758","2","2","1.34848484848485","22.7663498300115","5","15.5","6.25953817640073","28","186","-0.221478060046192"
"432","mammalia-primate-association-5","15","59","1","15","3","12","7.86666666666667","3","2.08638782487272","0.572928646954307","0.0506255001734878","0.0580293019247342","2","0.103162143978471","0.65948275862069","0.113754203861466","8.79088390630233","0.339474034773396","0.295238095238095","2","2","1.43809523809524","28.8876189498179","1","20.4","11.7461239807618","38","306","-0.183668512581367"
"433","mammalia-primate-association-6","8","18","1","8","3","6","4.5","3","2.60582982902867","0.703254568023348","0.106155303030303","0.0354938271604938","2","0.0861678004535147","0.590909090909091","0.214857229873246","4.65425343419882","0.270534983237293","0.214285714285714","2","2","1.35714285714286","13.4528017134003","2","4.875","2.4164614034339","8","39","-0.153846153846151"
"434","mammalia-primate-association-7","19","49","1","19","1","11","5.15789473684211","1","0.694780156900927","0.198375335631062","0.0285102976810082","0.278009162848813","4","0.168057716913926","0.433460076045627","0.159121742750319","6.28449627760247","0.548309847295682","0.324561403508772","3.26315789473684","2","2","32.8050289139591","0","6","4.40958551844098","16","114","-0.282882433611769"
"435","mammalia-primate-association-8","19","114","1","19","7","16","12","7","6.33238940260124","0.752652298901114","0.0421893710913675","0.0495152354570637","2","0.0198434966953485","0.689863842662632","0.0798033726668985","12.5307987191723","0.257547136753402","0.222222222222222","2","2","1.33333333333333","42.1712248665606","14","48","19.8969567745645","81","912","-0.163779271213631"
"436","mammalia-primate-association-9","19","129","1","19","5","17","13.5789473684211","5","4.85907932794542","0.705288321119324","0.0452361165232145","0.0626164293011238","2","0.0287391308360807","0.814814814814815","0.0706104472560982","14.1622102515947","0.20805807903633","0.190058479532164","2","2","1.24561403508772","41.2601749259095","9","72.9473684210526","24.909778722891","107","1386","-0.10359657337079"
"437","mammalia-primate-association","25","280","1","25","17","24","22.4","17","16.8121598165349","0.902283811668096","0.0392083526986753","0.00305484693877551","2","0.00110837095708812","0.938589211618257","0.0444238092921203","22.5104513983535","0.064762982680283","0.0666666666666667","1.72","1","1.06666666666667","53.2848747792541","128","226.2","30.9448434045696","256","5655","-0.0822137176668485"
"438","mammalia-raccoon-proximity-1","23","63","1","23","1","13","5.47826086956522","1","0.888219313776855","0.211143437852514","0.0225465712265496","0.358528596623835","4","0.263002473716759","0.476712328767123","0.147286289802264","6.78949820341411","0.619664355550834","0.341897233201581","3.26086956521739","3","2.05928853754941","40.4744553776615","0","7.56521739130435","5.97590683081596","22","174","-0.105400941191136"
"439","mammalia-raccoon-proximity-10","19","50","1","19","2","9","5.26315789473684","2","0.5092670222998","0.143027035152234","0.0266509469945808","0.2438","5","0.188649787233665","0.573033707865168","0.143098290953139","6.98820365595754","0.579072308891986","0.207602339181287","3.78947368421053","3","2.14035087719298","32.4390194335412","0","8.05263157894737","8.41608040341376","22","153","0.373147937086848"
"440","mammalia-raccoon-proximity-11","19","46","1","19","2","9","4.84210526315789","2","0.725853507007705","0.167323077834337","0.0272223997424741","0.371691871455577","4","0.175804889857177","0.495283018867925","0.167449266180805","5.97195809099718","0.599328758553094","0.230994152046784","3.10526315789474","3","2.07602339181287","32.8539360573279","0","5.52631578947368","4.89181199162473","15","105","0.120469882529367"
"441","mammalia-raccoon-proximity-12","19","48","1","19","2","9","5.05263157894737","1","0.162136367839753","0.050472481805586","0.0224812388701773","0.320746527777778","7","0.3204883805374","0.624","0.14455494218832","6.91778492565991","0.60024583048256","0.219298245614035","5.31578947368421","4","2.60233918128655","31.5182941502403","1","8.21052631578947","7.72858293298628","23","156","0.462931329005808"
"442","mammalia-raccoon-proximity-13","19","57","1","19","2","11","6","2","0.456874492681595","0.123570315446476","0.0285440575243083","0.259310557094491","4","0.227753282382912","0.616666666666667","0.129142661045832","7.7433745897888","0.554935267395329","0.277777777777778","3.36842105263158","2","2.02923976608187","34.6492263837321","1","11.6842105263158","9.86606209622409","32","222","0.195032870708547"
"443","mammalia-raccoon-proximity-14","18","59","1","18","3","12","6.55555555555556","3","0.694778267595353","0.175550928110593","0.0331742214133264","0.286268313702959","3","0.209826764930571","0.676923076923077","0.124334545503196","8.04281703007711","0.508761762566293","0.320261437908497","2.94444444444444","2","1.82352941176471","32.777577145177","3","14.6666666666667","11.1460887363078","32","264","0.255329587012755"
