"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"35",35,0.1,"Spatial",1,1,350,1615,1,350,1,16,9.22857142857143,1,0.0594784211668846,0.00634942881347366,0.000374136067869271,0.824198065734359,20,0.137970822732075,0.612541165400901,0.0825151974402165,12.1189796670427,0.940571697773928,0.0194023741301678,15.1371428571429,11,7.85368808841588,739.696180096117,0,26.04,16.0913794572335,78,9114,0.456133965537405
"36",36,0.1,"Spatial",1,1,350,1703,1,350,2,22,9.73142857142857,2,0.0685070713818688,0.00700473809457254,0.000390538616050101,0.791800349561014,18,0.107581510610702,0.597532008574242,0.0625937758711584,15.9760293428915,0.932156995661475,0.0351534997953336,14.08,10,7.5388784281621,752.450728976856,0,29.4685714285714,23.4044515079689,123,10314,0.628083149305837
"37",37,0.1,"Spatial",1,1,350,1751,0,340,0,23,10.0057142857143,0,2.61030388815376e-15,-1.32152479403604e-15,-1,0.780476751312214,19,0.121939022257218,0.610619469026549,0.0656740881681367,15.2267055073507,0.923620530942951,0.0372329103561195,14.0771428571429,0,7.65678451236859,750.672428216055,0,32.5285714285714,25.0630845492408,128,11385,0.648018908605755
"38",38,0.1,"Spatial",1,1,350,1643,1,350,1,17,9.38857142857143,1,0.0691816713395561,0.00713124963789594,0.000395380050825279,0.793132598541406,17,0.0904532674373243,0.584932665408887,0.0792565311783217,12.6172567122584,0.911833576946021,0.0218092509209988,13.6228571428571,9,7.44687679083095,754.854472811475,0,25.6885714285714,15.5941593545872,73,8991,0.500093804981189
"39",39,0.1,"Spatial",1,1,350,1596,0,347,1,23,9.12,0,3.58396874924765e-14,1.33227358367361e-15,-1,0.818603526359759,19,0.145160136073616,0.602506231893822,0.0660756773290474,15.1341619249719,0.948837184287785,0.0397707736389685,14.8485714285714,1,8.08460205883333,740.25517075667,0,25.5514285714286,19.3505272864279,133,8943,0.526665583565382
"40",40,0.1,"Spatial",1,1,350,1644,1,350,2,18,9.39428571428572,2,0.0691399843692665,0.00735878719167879,0.000401321733327936,0.769632328129717,19,0.116392451113296,0.578879002403066,0.0761161462266012,13.1378170017036,0.946502902680033,0.0246582071223905,14.0342857142857,10,7.33396643471142,753.437140577895,0,25.4657142857143,16.5874506860449,88,8913,0.514410420598456
"41",41,0.1,"Spatial",1,1,350,1697,1,350,1,18,9.69714285714286,1,0.0476752234886535,0.00516297311182668,0.000366610651857342,0.798269433840925,18,0.208006461344608,0.593646474207288,0.0770074113853106,12.9857630844965,0.938552931473713,0.0237904216127712,15.0085714285714,11,7.94880065493246,752.054803523248,0,28.6714285714286,19.0655042072167,84,10035,0.550633564972091
"42",42,0.1,"Spatial",1,1,350,1684,1,350,2,20,9.62285714285714,2,0.0568527533621373,0.00622499769163761,0.000383196614421955,0.805294944454161,20,0.118929670328584,0.607601745054682,0.0692769713935629,14.4348111628465,0.945158924482983,0.0297339336880884,15.24,11,7.64140810478919,747.339679208794,0,29.0485714285714,20.8368044372638,108,10167,0.566169555415193
"43",43,0.1,"Spatial",1,1,350,1655,1,350,1,19,9.45714285714286,1,0.032371856784029,0.0045601728844951,0.000380728943129926,0.789589361177791,20,0.164770872524473,0.590928646057403,0.069027314141632,14.4870188335617,0.929287681254894,0.0273434302087597,15.0514285714286,10,7.81322963569382,746.498341435276,0,27.4714285714286,19.9437040273756,98,9615,0.618746564978474
"44",44,0.1,"Spatial",1,1,350,1573,1,350,1,16,8.98857142857143,1,0.0578487479348417,0.00647940904856258,0.000374529826480259,0.799548685724493,19,0.154088787656862,0.587895003254031,0.0882100667909939,11.3365745699911,0.944572153958194,0.0200900532132624,14.94,10,7.83097830536226,743.287649330693,0,23.2285714285714,12.7728349687758,65,8130,0.39624922236965
