"","X","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"23",3,3,"LAT",1,1,144,1402,1,144,9,24,19.4722222222222,9,1.62390985459493,0.0923315880006381,0.0023729108603287,0.49686864699095,8,0.0196330162338999,0.544534115920763,0.0467841350350715,21.374767306275,0.480974086620409,0.0316627816627817,6,4,3.003108003108,389.414503301744,28,103.083333333333,34.1853238047611,138,14844,0.52009345387965
"24",4,4,"LAT",1,1,144,2190,1,144,14,40,30.4166666666667,14,4.11067801385402,0.154110962287213,0.00298904087329523,0.400611955547215,6,0.013647965599297,0.59280912014031,0.0298630188152609,33.4862327946888,0.452799110534419,0.067016317016317,4.63888888888889,3,2.37937062937063,432.938847484402,75,281.666666666667,103.21787669745,414,40560,0.455140934665178
"25",5,5,"LAT",1,1,144,3070,1,144,20,60,42.6388888888889,20,8.41649216198862,0.231308273964941,0.00353922245100177,0.320870990673641,5,0.0121820738572975,0.622711159288665,0.0213888916054135,46.7532408152884,0.425468901380598,0.121406371406371,3.80555555555556,3,2.00641025641026,454.221663211523,160,590.416666666667,230.228026217366,954,85020,0.358543664610807
"26",6,6,"LAT",1,1,144,4004,1,144,27,82,55.6111111111111,27,14.8330217839196,0.319965162718297,0.00403542864886105,0.265819969241548,4,0.00987007633946205,0.655661426347572,0.0165491908000232,60.4259152053887,0.397081632027451,0.184537684537685,3.25,2,1.75679875679876,468.319485274511,301,1064.66666666667,428.291646271246,1862,153312,0.242269873616121
"27",7,7,"LAT",1,1,144,4956,1,144,35,102,68.8333333333333,35,23.3192824729536,0.414071620110152,0.00447581245247421,0.224961094272048,4,0.00702347531622797,0.688854869709024,0.0135378664152736,73.8668834013448,0.361206731935088,0.231934731934732,2.86111111111111,2,1.58294483294483,477.114067683262,515,1712.41666666667,683.028770037764,3082,246588,0.140039754185242
"28",8,8,"LAT",1,1,144,5892,1,144,44,118,81.8333333333333,44,33.5828162468416,0.508046972880904,0.0048765826887839,0.182467891151383,3,0.00496246402219055,0.726994158004489,0.0115495571380791,86.5834064496709,0.318282446060998,0.252913752913753,2.58333333333333,2,1.45221445221445,482.634776231398,826,2537.25,960.199611386244,4475,365364,0.0646240639168729
"29",9,9,"LAT",1,1,144,6780,1,144,54,130,94.1666666666667,54,45.2489863063882,0.59800902431423,0.0052481288961689,0.130316576169717,3,0.00350133840843298,0.767217773028373,0.010180205107764,98.2298479661613,0.272341977129945,0.250582750582751,2.27777777777778,2,1.3482905982906,478.881066100001,1256,3510,1205.63859409875,5868,505440,0.0140286765986807
"30",10,10,"LAT",1,1,144,7590,1,144,65,138,105.416666666667,65,57.9619048100053,0.680567367878062,0.00559226362544587,0.093545247977281,3,0.00235137906911374,0.809218743112391,0.00921076842122893,108.568574766814,0.224901062414661,0.227855477855478,2.08333333333333,2,1.26379176379176,470.692191315072,1835,4589.41666666667,1368.75909039993,7112,660876,-0.0146178568639302
"31",11,11,"LAT",1,1,144,8294,1,144,77,142,115.194444444444,77,71.414129734527,0.751529934772178,0.00590664732435071,0.0709096174357726,2,0.00138470746984508,0.850051141045762,0.00851625596947998,117.422492182449,0.176291807548965,0.187451437451437,2,2,1.19444444444444,462.833680813701,2590,5702.16666666667,1418.01065221324,8075,821112,-0.0246375969189601
"32",12,12,"LAT",1,1,144,8866,1,144,88,143,123.138888888889,88,83.6979639043269,0.807009994572528,0.0061823455057557,0.0494359485940226,2,0.000702806031924695,0.887600194094705,0.00802386250759191,124.628257158424,0.129378470715327,0.138888888888889,1.97222222222222,1,1.13888888888889,440.097260302622,3463,6757.91666666667,1362.54675931825,8723,973140,-0.0270021509516635
