"","X","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"21",21,0.1,"ER",1,1,400,7773,1,400,23,54,38.865,23,21.573244954801,0.708105597263838,0.00130334371790056,0.101902714269752,3,0.00198631046482706,0.0975987529103754,0.0252250672919708,39.643105345384,0.30487941880787,0.0379323308270677,2.99,2,1.92332080200501,2039.89133449699,26,73.2525,22.4463435685859,146,29301,0.0021518579959659
"22",22,0.1,"ER",1,1,400,7903,1,400,24,57,39.515,24,22.2459621458729,0.710774210672099,0.00130662797382537,0.0983826114208484,3,0.00276601490935215,0.0988108947319461,0.0247059305391133,40.4761115318788,0.299940883513051,0.0438220551378446,2.9725,2,1.9184962406015,2055.45397679523,24,77.01,25.4155419858812,167,30804,0.0101553346000156
"23",23,0.1,"ER",1,1,400,8093,1,400,25,64,40.465,25,22.9435896348594,0.715169848987774,0.00130967148382872,0.0994983651759039,3,0.00360614590612407,0.101469362584222,0.0241061254807946,41.483232168384,0.368742621865851,0.058984962406015,2.945,2,1.91404761904762,2080.06178396205,25,83.0925,26.6580301255633,200,33237,-0.0101649507390603
"24",24,0.1,"ER",1,1,400,7905,1,400,24,60,39.525,24,22.4177819356315,0.705698661289621,0.00130571907528567,0.0996937542232416,3,0.00290765102636623,0.0998460410791848,0.0246744714250678,40.5277172010283,0.345681349354901,0.0513157894736842,2.9825,2,1.91986215538847,2054.80461704246,22,77.985,26.0051040873997,173,31194,-0.0131709875642816
"25",25,0.1,"ER",1,1,400,7932,1,400,22,59,39.66,22,20.6863585232625,0.702189329347933,0.00130679723069136,0.0993984833006933,3,0.00271921081410962,0.100515857852503,0.0246209565414789,40.6158062265088,0.349965889842105,0.0484711779448622,2.9625,2,1.91824561403509,2058.94910875523,19,78.915,25.8440042638709,173,31566,0.00477308698848964
"26",26,0.1,"ER",1,1,400,8145,1,400,25,58,40.725,25,23.23937412089,0.715452249795267,0.0013109820803721,0.0991695636297449,3,0.00246967159668606,0.103481399809694,0.0240109035709194,41.6477454522428,0.296399713733259,0.0432957393483709,2.96,2,1.91209273182957,2081.90890928487,21,85.6425,26.601292556268,166,34257,-0.0128196274030799
"27",27,0.1,"ER",1,1,400,7985,1,400,26,69,39.925,26,24.0011627751348,0.70424740204455,0.00130903601463431,0.0994641094820478,3,0.00445491576778954,0.100694663123024,0.0245196872888128,40.783554383104,0.429791506989721,0.0728696741854637,2.975,2,1.91488721804511,2069.12233224423,27,79.9425,25.070810869298,230,31977,-0.00514667283856517
"28",28,0.1,"ER",1,1,400,8014,1,400,22,56,40.07,22,20.8829869917731,0.713706195918722,0.00130863104813498,0.0938420544805263,3,0.00219212011908924,0.10030693485814,0.0243606473493854,41.0498122507911,0.296980836071422,0.0399248120300752,2.9725,2,1.91556390977444,2069.96283821472,14,80.475,26.5692338140124,163,32190,-0.0120298458882752
"29",29,0.1,"ER",1,1,400,7864,1,400,24,58,39.32,24,22.3774984989466,0.707920517457967,0.00130574520526691,0.100221844215343,3,0.00293798844265609,0.09729498140178,0.0248799406483366,40.1930219261539,0.345612207981098,0.0468170426065163,2.9825,2,1.9197619047619,2051.38142886412,20,74.94,23.8734424231788,168,29976,-0.00502612528546084
"30",30,0.1,"ER",1,1,400,7906,1,400,23,56,39.53,23,21.3013872060206,0.704978468007266,0.00130682940762914,0.0982539894993085,3,0.00235160258279034,0.098753078817734,0.024720693391167,40.4519397646553,0.296100595905383,0.0412781954887218,2.9725,2,1.9181954887218,2056.31436436232,24,76.98,24.6563264922053,145,30792,-0.00783378147836677
