"","X","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"23",23,"sbm",1,1,50,578,1,50,8,35,23.12,8,6.36751702501849,0.516149184023392,0.0135089303653605,0.143722836172939,3,0.0138583769026149,0.68019680196802,0.0366666949570207,27.2727062303314,0.356561574115741,0.242448979591837,2.1,2,1.53061224489796,145.983879038395,6,199.08,141.694099944859,374,9954,0.344924708927843
"24",24,"sbm",1,1,50,47,0,37,0,5,1.88,0,-6.9580775165136e-16,-6.99763263254354e-16,-1,0.636260751471254,11,0.182221528067009,0.0375,0.319824686407679,3.12671298526751,0.837988514833537,0.0636734693877551,6.42,0,4.37982195845697,55.4855026916412,0,0.06,0.239897937482095,1,3,0.142817059483726
"25",25,"sbm",1,1,50,379,1,50,6,24,15.16,6,5.31802350575723,0.557473673710316,0.0120295341138632,0.167970843979087,3,0.0215754526384145,0.384473816295801,0.0584583672103007,17.1061910847177,0.438096396211358,0.180408163265306,2.34,2,1.70448979591837,142.715934189721,4,45.96,35.5418465634927,120,2298,0.139809191966406
"26",26,"sbm",1,1,50,608,1,50,14,35,24.32,14,12.2243419669416,0.620653475878652,0.0136425792624184,0.146246320983379,2,0.00859999378947045,0.55625,0.0388589889908943,25.734071471451,0.334763060954221,0.217959183673469,2,2,1.50367346938776,162.620943247998,39,165.54,81.2675626230655,334,8277,0.163783941760985
"27",27,"sbm",1,1,50,250,1,50,4,17,10,4,2.45474931738705,0.281657205122896,0.0104852669542457,0.302208,4,0.0358627103034911,0.278388278388278,0.0910639644272808,10.9812921751123,0.505079553598615,0.142857142857143,3.04,2,1.95755102040816,124.576096053619,2,13.68,7.95507795726242,35,684,-0.0059895516243665
"28",28,"sbm",1,1,50,22,0,9,0,3,0.88,0,-9.46902235307364e-16,-7.99494805710868e-16,-1,0.755165289256198,6,0.0153234763293072,0,0.489697028694032,2.04207896189791,0.943133708933497,0.043265306122449,1.98,0,2.56,30.6198658981135,0,0,0,0,0,-0.0352941176470588
"29",29,"sbm",1,1,50,80,0,46,0,7,3.2,0,-1.21801336820394e-16,0,-1,0.407890625,6,0.0947877895894348,0.0376569037656904,0.24569025942885,4.07016542831073,0.606401119171201,0.0775510204081633,4.6,0,3.06183574879227,72.6933777466953,0,0.18,0.481917936955229,2,9,-0.148479716106137
"30",30,"sbm",1,1,50,45,0,33,0,8,1.8,0,-4.98728293719046e-16,-5.31208873094359e-16,-1,0.481975308641975,6,0.161414225554167,0.0671641791044776,0.26065452733303,3.83649580243941,0.773930763452703,0.126530612244898,3.24,0,3.08317580340265,43.1319501942686,0,0.18,0.481917936955229,2,9,-0.262570394207562
"31",31,"sbm",1,1,50,32,0,29,0,5,1.28,0,-8.24641109943118e-16,-6.42523981529103e-16,-1,0.546875,7,0.130047086861956,0,0.349992146409339,2.85720696952564,0.824460781132533,0.0759183673469388,3.44,0,3.65270935960591,34.97698114057,0,0,0,0,0,-0.308832246591583
"32",32,"sbm",1,1,50,147,0,49,0,14,5.88,0,-1.4270555446351e-15,-1.39468173360469e-18,-1,0.304479614975242,4,0.0954304770388199,0.136061946902655,0.138045198656576,7.24400420827212,0.644774569004882,0.165714285714286,3.44,0,2.32568027210884,96.8909104614895,0,2.46,2.99121161718383,14,123,-0.0403207942611442
