"","mu","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"34",0.15,"Spatial_noncomm","1","1",150,1320,1,150,9,39,17.6,9,7.1537208448343,0.555688307846223,0.00332986591857273,0.173677682876587,3,0.0165713298501593,0.163164400494438,0.048126406419046,20.7786135389542,0.643796001532234,0.143624161073826,3,3,2.02335570469799,505.051556815127,2,27.28,28.9357353202487,156,4092,0.171548860072603
"35",0.15,"Spatial_noncomm","1","1",150,1322,1,150,8,37,17.6266666666667,8,6.81878818590274,0.565204757327374,0.00333178646285885,0.166436553001404,3,0.0223035572485559,0.163415014827532,0.0474973457028089,21.053808064497,0.603856966633363,0.130022371364653,3,3,2.02308724832215,501.029031915742,1,27.92,29.6030834599298,131,4188,0.132922521674797
"36",0.15,"Spatial_noncomm","1","1",150,1323,1,150,9,36,17.64,9,7.00454241880767,0.57549567964767,0.00332693300650567,0.163923740386963,3,0.0135556398912537,0.159143405238226,0.047709769885551,20.9600675584657,0.608062551606754,0.123221476510067,3,3,2.02604026845638,503.104649487706,1,27.1,27.9649228990834,140,4065,0.146829341848031
"37",0.15,"Spatial_noncomm","1","1",150,1332,1,150,9,40,17.76,9,7.11488044794725,0.565889455589368,0.00332869987800049,0.170101135969162,3,0.0213918777145589,0.16843281569111,0.0470113223982161,21.2714714027688,0.653028045888322,0.149261744966443,2.99333333333333,2,2.02496644295302,501.490874239404,2,29.14,32.7217330237953,190,4371,0.159385013412527
"38",0.15,"Spatial_noncomm","1","1",150,1317,1,150,8,39,17.56,8,6.7108348098515,0.563743828401709,0.00331377151352011,0.169212952256203,3,0.0183957138941172,0.16587046753857,0.0475095888057016,21.0483825505135,0.61021259909478,0.143892617449664,2.99333333333333,2,2.03480984340045,496.859255062829,2,28.24,28.9244978725856,137,4236,0.130748435902601
"39",0.15,"Spatial_noncomm","1","1",150,1323,1,150,9,37,17.64,9,7.085064422375,0.555953527085845,0.00332663414503034,0.186192691326141,3,0.0145625679447071,0.16180329795151,0.0475136264411377,21.0465938910988,0.600245140000884,0.12993288590604,2.98666666666667,2,2.02639821029083,499.985946010323,1,27.54,29.8377334187848,135,4131,0.155246143428097
"40",0.15,"Spatial_noncomm","1","1",150,1315,1,150,8,41,17.5333333333333,8,6.7614057948621,0.563559968794433,0.00332558456921492,0.155740588903427,3,0.0206173115741443,0.165748484007768,0.0477955715855566,20.9224404442982,0.648045797704954,0.157494407158837,2.99333333333333,2,2.02702460850112,502.014391097528,2,27.88,30.2455099557475,169,4182,0.161705401046876
"41",0.15,"Spatial_noncomm","1","1",150,1312,1,150,9,39,17.4933333333333,9,6.8683341441174,0.571499917370481,0.00331905221633063,0.162082642316818,3,0.0186849339004503,0.155466559871846,0.0484450384324917,20.6419487393637,0.619856386348621,0.144340044742729,2.99333333333333,2,2.03131991051454,499.224565304551,1,25.88,26.1253868665361,121,3882,0.141840466461882
"42",0.15,"Spatial_noncomm","1","1",150,1308,1,150,9,38,17.44,9,6.79937486691672,0.536687115400229,0.00331863055463376,0.174341157078743,3,0.018602796948486,0.158015359253749,0.0483051131315964,20.7017422208644,0.618162238113163,0.137986577181208,3,3,2.03123042505593,500.066664451134,2,26.2,27.7810229275189,142,3930,0.146125158660833
"43",0.15,"Spatial_noncomm","1","1",150,1301,1,150,9,39,17.3466666666667,9,7.00878030817136,0.577718299109773,0.00331930379788572,0.155607253313065,3,0.0253845397865875,0.164263074484945,0.0476148259589389,21.001861917176,0.623552482397734,0.145324384787472,2.99333333333333,2,2.03149888143177,495.7064838355,2,27.64,30.6266278844157,148,4146,0.0950222563905313
