"","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"66","sbm","1","1",300,15148,1,300,2,170,100.986666666667,2,1.84555757041356,0.214521312437548,0.00192054293884322,0.0573217853191002,4,0.0125182881683019,0.874762348595207,0.00624277247659923,160.185238809913,0.421543490446986,0.230813823857302,3.21333333333333,3,1.81507246376812,1135.62869227091,0,6835.67,5604.88906752825,12390,2050701,0.736092103753321
"67","sbm","1","1",300,12991,1,300,56,115,86.6066666666667,56,54.2898999168781,0.741420668863781,0.00195649956951432,0.110782874077641,2,0.00173036897012618,0.302646592416296,0.0112983714660456,88.5083308692097,0.273114868069753,0.0949609810479376,2,2,1.71034559643255,2058.31110490223,425,1143.19,372.350296150652,2136,342957,0.125608075072101
"68","sbm","1","1",300,12696,1,300,51,114,84.64,51,50.1599296242589,0.831300105483784,0.00194958882531276,0.000600027609924525,2,0.00220940342949512,0.268217416629995,0.011534686685509,86.6950292855631,0.233483857267366,0.0981939799331104,2,2,1.71692307692308,1983.91477905983,334,979.26,323.885533064427,1712,293778,-0.35111568016777
"69","sbm","1","1",300,11064,1,300,29,147,73.76,29,28.7456351552289,0.831514257664862,0.00191975231666499,0.000478543394927223,2,0.00758068443286886,0.335622823496743,0.0110145631950167,90.7888930586396,0.44211417473386,0.24494983277592,2,2,1.7533110367893,1650.07825941698,209,1184.47,952.583546893767,3264,355341,-0.473925095764722
"70","sbm","1","1",300,21566,1,300,53,207,143.773333333333,53,51.0958255789712,0.622526973596679,0.00223753801346567,0.115964017262842,2,0.00185340537585705,0.73157262272152,0.00574840312417796,173.961355596995,0.330490517903191,0.211460423634337,2,2,1.51915273132664,1778.02547633279,516,8786.87,6325.92826980217,15385,2636061,0.350073846574511
"71","sbm","1","1",300,18888,1,300,56,233,125.92,56,55.8503498790162,0.899510727460634,0.00216631952663324,7.84176225229714e-05,2,0.00443277649240701,0.557916719294927,0.00655500153992084,152.555265457966,0.378509222822066,0.358127090301003,2,2,1.57886287625418,1697.67729668737,1345,5683.36,4374.59542825808,12802,1705008,-0.50378799760379
"72","sbm","1","1",300,26913,1,300,152,204,179.42,152,121.991628343026,0.680378430975266,0.00239025301663086,0.151332569237395,2,0.000410534397758544,0.621009175759912,0.00555603831716226,179.984359883023,0.131301654372696,0.0822073578595318,2,2,1.39993311036789,2203.70340141243,6983,9967.81,1230.82942392627,13015,2990343,0.0844946839408299
"73","sbm","1","1",300,8692,1,300,34,84,57.9466666666667,34,32.9765501287981,0.783254057473662,0.00185213540473141,0.00602766766505807,3,0.00332375802883798,0.175989487888091,0.0168576390462268,59.320287808857,0.303080553031737,0.0871348940914158,2.03666666666667,2,1.80633221850613,1749.84493792308,89,298.67,103.643367332277,629,89601,-0.255829494920071
"74","sbm","1","1",300,5523,1,300,22,58,36.82,22,20.1302125398561,0.697840888225546,0.00177018953477484,0.025958029315231,3,0.00407471191935365,0.113260868504156,0.0263059551669475,38.0142060477798,0.375948794974912,0.0708361204013378,2.88,2,1.88989966555184,1460.048659374,19,77.35,31.6567211396101,193,23205,-0.123443465748254
"75","sbm","1","1",300,16165,1,300,56,162,107.766666666667,56,55.3940249285124,0.855118359732893,0.00204791601526244,0.00481381829377278,2,0.00279557626702554,0.407651054930815,0.00863970311024011,115.744717988603,0.315817993219193,0.181382385730212,2,2,1.63957636566332,2118.8475708382,728,2541.9,1192.70079257205,5080,762570,-0.165757157955239
