"","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness","modularity","diameter","betweenness","transitivity","threshold","spectral_radius","centrality_eigen"
"7096","ER","96","1",486,984,1,486,1,11,4.04938271604938,1,0.286534778323668,0.131096694380003,0.000453100245807969,0.404971361160278,10,0.0297114992527818,0.00688599846977812,0.191460920361613,5.22299797844539,0.748374322533127
"7097","ER","97","1",485,984,1,485,1,11,4.05773195876289,1,0.279537749640345,0.141588782406599,0.000454449938948284,0.426352143287659,10,0.0369420359706215,0.00621278798860989,0.194042916922371,5.15349911174578,0.781831921289629
"7098","ER","98","1",486,984,1,486,1,10,4.04938271604938,1,0.303932480309289,0.145982453431553,0.000455088372359895,0.426458984613419,9,0.0258712702731718,0.00832492431886983,0.190406236403713,5.251928817498,0.778504012670371
"7099","ER","99","1",490,984,1,490,1,12,4.01632653061225,1,0.250421259291443,0.138837919730106,0.00044503106842839,0.446031808853149,10,0.0398252012757422,0.0115859938208033,0.193319544106901,5.17278273451246,0.779519998659469
"7100","ER","100","1",485,982,1,485,1,10,4.04948453608247,1,0.23486491162131,0.125363262298959,0.000448297574411438,0.423003077507019,11,0.0237758160944633,0.0102201257861635,0.195256223807311,5.121475671817,0.773333890956837
"7101","SW","1","1",484,968,1,484,1,8,4,1,0.267610052218133,0.120433109918875,0.000423406996928226,0.525092780590057,10,0.0245349145748687,0.00550290431060838,0.222864567171047,4.48703000523411,0.627986581339993
"7102","SW","2","1",484,968,1,484,1,8,4,1,0.385718545906684,0.128288372109767,0.000424950910564735,0.509551465511322,9,0.0274598276096344,0.00368437212158428,0.221891630654508,4.50670445320685,0.733147738924502
"7103","SW","3","1",484,968,1,484,1,9,4,1,0.397211204781551,0.115623421820157,0.000417650614673083,0.543537855148315,9,0.0268826483982895,0.00277178934400986,0.223810564909201,4.46806432219003,0.648024617379605
"7104","SW","4","1",483,968,1,483,1,7,4.00828157349896,1,0.303764423408907,0.116918952588086,0.00042268670800889,0.548024892807007,10,0.0179760297397927,0.00641809290953545,0.22240900629981,4.49622079895446,0.668903103118466
"7105","SW","5","1",483,968,1,483,1,8,4.00828157349896,1,0.363890178069664,0.114720889884644,0.000418958561367645,0.52114462852478,10,0.0286645342598769,0.00369571912534647,0.221549917109878,4.51365549148027,0.714013249970246
